	rumor	label
24	RT alimohsnalahmar The Vice President stresses the importance of exerting maximum efforts to protect students and the Yemeni community there and intensifying communication with the Chinese side supporting bodies brothers and friends in a way that will prevent them from being infected with the virus and prevent the epidemic from reaching our country	SUPPORTS
25	RT alimohsnalahmar The Vice President of the Republic expresses his wishes to the Yemeni students the Yemeni community and friends in China for safety due to the spread of the virus and for this crisis to end with the least losses	SUPPORTS
26	RT yemenmofa We are in direct contact with our students in the city of Wuhan where the Corona virus has spread and under the guidance of the countrys leadership we are coordinating with the Chinese authorities and our embassy in China and arranging the necessary procedures to provide what they need and discussing the possibility of evacuating them with the relevant authorities	SUPPORTS
27	We are pleased to announce that financial aid will be disbursed to all Yemeni citizens residing in the city of Wuhan during the next week immediately after coordination with the Foreign Affairs Office in the city of Wuhan is completed We highly value the commitment of our dear citizens to the instructions of the Chinese government to ensure their safety May you always be well	SUPPORTS
28	RT ChineseEmbtoYEM Lets listen to the words from the Yemeni student in Wuhan China 	SUPPORTS
29	AlHadrami discusses with the Chinese ambassador the conditions of Yemenis residing in Wuhan  Saba Net  Saba Net 	SUPPORTS
30	The Prime Minister reassures students and the Yemeni community in China  Saba Net  Saba Net 	SUPPORTS
31	The Prime Minister directs to take all necessary measures to protect students and the Yemeni community in China from Corona  Saba Net  Saba Net 	SUPPORTS
32	We are in constant contact with the students in Wuhan and a working group has been established that has completed the necessary proposals and statements and submitted them to decision makers We hope everyone will be patient and we highly appreciate the Chinese governments care attention and provision of the needs of everyone in their homes	SUPPORTS
33	RT yemenmofa We are in direct contact with our students in the city of Wuhan where the Corona virus has spread and under the guidance of the countrys leadership we are coordinating with the Chinese authorities and our embassy in China and arranging the necessary procedures to provide what they need and discussing the possibility of evacuating them with the relevant authorities	SUPPORTS
34	Our hearts are with you and our prayers are with you We ask God to protect you and our Chinese friends from the evil and danger of this virus	SUPPORTS
35	Our brothers and sons who are in the friendly Republic of China we pray for safety for you and for your Chinese friends and Allah willing the disaster will be overcome The leadership is following what is happening and your appeals especially those in Wuhan are of concern and Allah willing the issue will be addressed urgently	SUPPORTS
36	Universities and the Chinese government provide food to Yemeni students in Wuhan Here is the process of distributing food to Yemeni students We are with you let us make joint efforts to overcome this difficult period  	SUPPORTS
37	Universities and the Chinese government provide food to Yemeni students in Wuhan Let us make joint efforts to overcome this difficult period 	SUPPORTS
38	Lets listen to the words of the Yemeni student in Wuhan China 	SUPPORTS
39	The ambassador met with Sheikh Abdul Salam AlKhudairi today Undersecretary of the Ministry of Endowments and Guidance The two sides discussed the Corona virus in China and the situation of Yemeni expatriates and students there The Sheikh thanked the Chinese government for its efforts in combating the virus and protecting Yemeni citizens and expressed his hope that China will defeat the virus early  coLMgxBmgM7l	SUPPORTS
40	Let us listen to the words and opinions regarding the spread of the Corona virus from the Yemeni student Dr Osama AlWaleed who is now in the Chinese city of Wuhan 	SUPPORTS
41	The Corona epidemic has reached the Emirates with 75 cases in Abu Dhabi and 63 cases in Dubai A warning to refrain from traveling to the Emirates in order to preserve safety and not transmit the epidemic May God protect Muslims everywhere	REFUTES
42	Today WHO confirmed the emergence of the first cases of the new Coronavirus in the Eastern Mediterranean Region in the United Arab Emirates Following mohapuaes confirmation on January 29 4 members of the same family from the Chinese city of Wuhan arrived in the UAE at the beginning of January 2020 and were admitted to the hospital after they were confirmed infected with the Coronavirus	SUPPORTS
43	A new case of infection with the new Corona virus was recorded for a person coming from the city of Wuhan in the Peoples Republic of China Thus the number of cases discovered in the country is only five since the outbreak of the disease to date NewCoronavirus Coronavirus 	SUPPORTS
44	Four people from a Chinese family were infected with the new Corona virus all of whom are in stable condition and were contained according to internationally approved precautionary measures	SUPPORTS
45	The general health situation does not cause concern A case of infection with the new Coronavirus has been diagnosed for people from the same family coming from the city of Wuhan in the Peoples Republic of China The health condition of the injured is stable and under medical observation MinistryofHealthandCommunityPrevention 	SUPPORTS
46	RT mohapuae A new case of infection with the new Corona virus was recorded for a person coming from the city of Wuhan in the Peoples Republic of China thus bringing the number of cases discovered in the country to only five since the outbreak of the disease until today NewCoronaVirus CoronaVirus	SUPPORTS
47	RT wamnews MinistryofHealth announces the registration of a new case of infection with the new Coronavirus WAM  	SUPPORTS
48	RT wamnews UAE Four people from a Chinese family were infected with the new Coronavirus WAM  	SUPPORTS
49	RT wamnews The UAE announces the registration of the first case of infection with the new Coronavirus and the Ministry of Health and Community Protection confirms that the health condition of those infected is stable and under medical observation	SUPPORTS
50	RT mohapuae A new case of infection with the new Corona virus was recorded for a person coming from the city of Wuhan in the Peoples Republic of China thus bringing the number of cases discovered in the country to only five since the outbreak of the disease until today NewCoronaVirus CoronaVirus	SUPPORTS
51	RT mohapuae Four people from a Chinese family were infected with the new Corona virus all of whom are in stable condition and were contained according to internationally approved precautionary measures MinistryofHealthandCommunityPreventionEmirates NewCoronavirus Coronavirus	SUPPORTS
52	RT mohapuae The general health situation does not cause concern A case of infection with the new Coronavirus has been diagnosed for people from the same family coming from the city of Wuhan in the Peoples Republic of China The health condition of the injured is stable and under medical observation MinistryofHealthandCommunityPreventionEmirates	SUPPORTS
53	RT mohapuae Four people from a Chinese family were infected with the new Corona virus all of whom are in stable condition and were contained according to internationally approved precautionary measures MinistryofHealthandCommunityPreventionEmirates NewCoronavirus Coronavirus	SUPPORTS
54	RT mohapuae The general health situation does not cause concern A case of infection with the new Coronavirus has been diagnosed for people from the same family coming from the city of Wuhan in the Peoples Republic of China The health condition of the injured is stable and under medical observation MinistryofHealthandCommunityPreventionEmirates	SUPPORTS
55	The official spokesman for the Football Association AlAhly sent a letter to the Football Association announcing its refusal to wear Zamalek in the full blue uniform during the EgyptianSupermatch based on its request	REFUTES
56	Islam AlShater warns against fabricating news and spreading rumours We do not have an acting CEO in this position and we have nothing to do with the uniform of others YouTube   TheBigHouse Alahlytv   coIRn9G1O9WP	SUPPORTS
57	AlAhlys objection speech to the Zamalek uniform in the Super Cup was fabricated Islam AlShater Even failure amounts to fabrication YouTube  TheBigHouse Alahlytv   coaTUx2UOkVB	SUPPORTS
58	The Prime Minister of Italy Giorgia Meloni with the Prime Minister of Iraq Muhammad Shia alSudani in Baghdad but what is strange is that the flag is not the flag of the Italian State This is the situation when mercenary agents rule as agents The occupiers do not even know the difference between the flag of Italy and the flag of Ireland 	REFUTES
59	 We officially deny the news of the alleged error related to raising the official flags during todays meeting of the Prime Minister of Italy Mrs Giorgia Meloni with her Iraqi counterpart Mr Muhammad AlSudani in Baghdad This news is due to the visual effects resulting from the photography The flags used were all of the Italian Republic	SUPPORTS
60	Urgent  Resignation of the Director General of the Municipality Engineer AhmedAlManfoukhi 	REFUTES
61	Some people circulated on social media incorrect news which was attributed to forgery to your newspaper In turn we confirm that the news is not true and warn against using the newspapers name to spread rumours We also confirm that the newspaper is only responsible for the news it publishes through its approved social media accounts 	SUPPORTS
62	Ministry of Works We receive inkind donations from citizens or companies for specific street repairs via official address 	REFUTES
63	The Ministry of Public Works categorically denies the incorrect news mentioned about opening the door for donations from citizens or companies to repair streets Roads and streets are developed and maintained in accordance with contracts signed between the Ministry and parties with a common interest	SUPPORTS
64	Exclusively The Queen of Arab Pop NancyAjram refused to sing with restaurant singer NawalAlzoghbi after Nawal asked several times to sing with her and to have a duet together  TrioArabicNight	REFUTES
65	This talk is wrong and unacceptable and it does not resemble the people who love me I hope I will not be forced to respond again to a story of this kind All the artists are participating in Together tonight and together we will present the best party away from all the talk that has come out or is reasonable to come out https tcorEE4AkIMVf	SUPPORTS
66	Unconfirmed information about MP Alain Aoun being involved in a serious accident and information about his death 	REFUTES
67	In the context of malicious rumours false news was widely circulated on social media about my exposure to a serious accident that led to my death I thank everyone who reassured me and called or tried to call and confirmed that I am fine and that the news is false 	SUPPORTS
68	God is Great and praise be to God The release of Sheikh Salman AlAwda from the deadly prisons of AlSalool May God hasten the release of the captivity of all his brothers scholars and oppressed oppressed people 	REFUTES
69	RT Ahlemik SalmanAlAwdaConference	SUPPORTS
70	RT abuhilalah Alia AlHathloul did well in reminding the rest of the detainees especially Islamists like Sheikh Salman AlAwda in order to ignore his attempt to separate prisoners of conscience based on their attitudes Prisoner of conscience Prisoner of conscience There is no difference between a liberal opinion and an Islamic opinion aalodah	SUPPORTS
71	RT aliaww After a thousand and one nights I can finally see the face of my dear sister Loujain but I cannot say that she is free Also I cannot forget that AlAwda AlSadhan AlRabiah and others are still subjected to great injustice  Life lesson No right is lost there are demands behind it	SUPPORTS
72	The day after tomorrow Friday wait for us   moslehun SalmanReturnConference 	SUPPORTS
73	RT moslehun The virtual international conference Contemporary Reformers SalmanAlAwda as a Model with the participation of a global elite of academics jurists and politicians February 12 and 13 2021 Conference program and broadcast links   SalmanAlAwda Conference	SUPPORTS
74	RT qtral3b Oh God unite their hearts for what is best for their people is enough in Saudi Arabia to make Sheikh AlAwda disappear for more than 1200 days behind bars without charges being brought and even from silence Sheikh SalmanAlAwda was not spared aalodah salmanalodah oamaz7	SUPPORTS
75	RT mshinqiti Sheikh SalmanAlAwda is one of the figures of Islam a nobleman among the nations nobles and a chivalrous man who gave what was precious and precious in the service of his religion and nation It is the duty of the people of the nation to stand up for their right to freedom and a decent life There is no future for a nation whose choices are insulted whose free people are restricted and it is a stagnant rule SalmanAlAwdaConference	SUPPORTS
76	RT anesmansory The beloved of the peoples the voice of centrism and moderation the king of hearts and the ambassador of peace He is eloquent in his tongue eloquent in his statement and the meaning is firmly rooted in knowledge a man of a nation abundant in knowledge strong in argument He is Dr SalmanAlAwda May Allah hasten his relief free him from his captivity and reward him for his ordeal and the patience of his family and all his lovers SalmanAlAwdaAmbassador of Peace	SUPPORTS
77	RT MohannaAlhubail I do not know what the purpose of the false leak about the release of Sheikh SalmanAwda is but I say that the regime is capable if it manages to determine its interests from the decision that is supposed to be a prelude to the release of the rest and the ongoing attempt to kill the sheikh in prison under global supervision and monitoring As for his release it is natural that it should be considered For her as a positive step	SUPPORTS
78	RT DAWNArabic Sheikh SalmanAlAwda is in Saudi prisons because of a tweet Click the link to read the details of his case and the names of the perpetrators who violated his rights 	SUPPORTS
79	RT EmanAl3omari SalmanAwdaConference May God relieve his family 	SUPPORTS
80	RT MbsMeToo AlAwdas son denies rumors of his fathers release The Saudi academic in the United States and the son of the detained preacher Salman AlAwda Abdullah revealed the truth about the news circulating on social media regarding the Saudi authorities release of his father	SUPPORTS
81	Be on time The entire conference will be broadcast live on various platforms and via the website  	SUPPORTS
82	For the sake of a free human being This conference will be SalmanAlAwdaConference Follow us moslehun Contemporary Reformers within the work of the Center for Arab Research and Rights in Washington DC America On Friday and Saturday February 1213 And Watch  	SUPPORTS
83	RT samaamyy aalodah The story is not over yet sir Tomorrow the birds will fly and it will be the beginning We ask God for a speedy relief for him SalmanAlAwda aalodah	SUPPORTS
84	RT aalodah There is nothing new about the father SalmanAlAwda and his health condition is still not good according to his last visit to AlHair prison and their treatment of him is very poor and he is still in solitary confinement He has a secret session in which no independent parties are allowed to attend on March 14 in a shaky judicial situation that is not independent at all I ask God to release him and the rest	SUPPORTS
85	There is nothing new about the father SalmanAlAwda and his health condition is still not good according to his last visit to AlHair prison and their treatment of him is very poor and he is still in solitary confinement He has a secret session in which no independent parties are allowed to attend on March 14 in a shaky judicial situation that is not independent at all I ask Allah to release him and the rest	SUPPORTS
86	RT m3takl Dr Abdullah AlAwda We remained for several months without knowing anything about my father Salman AlAwda neither his place of detention nor his health condition during the first period of his arrest	SUPPORTS
87	RT WeRecordAR Although a month has passed since the Gulfreconciliation some victims of the crisis are still in detention including the Islamic preacher SalmanAlAwda who is suffering from deteriorating health in AlHairPrison in Saudi Arabia In the UAE the authorities are still detaining the young Omani AbdullahAlshamsi in the notorious AlWathbaPrison	SUPPORTS
88	RT iumsonline The International Conference Contemporary Reformers highlights Salman AlAwda as a contemporary reformist model 	SUPPORTS
89	RT tajrights The Contemporary Reformers conference dedicates its first session to the detained preacher SalmanAlAwda 	SUPPORTS
90	RT MbsMeToo A conference to support the steadfastness of AlAwdaand calls for international intervention to release him The Contemporary Reformers conference announced that its first session was dedicated to the Saudi preacher who has been detained for years Salman AlAwda in support of his steadfastness	SUPPORTS
91	RT BilalAliBadr aalodah Sheikh Salman AlAwda May Allah relieve you of your captivity No matter how long the night of injustice and tyranny lasts the yoke of the free will not disappear SalmanAlAwdaAmbassador of Peace ht	SUPPORTS
92	RT alestiklal Dedicated it to the detained Sheikh SalmanAlAwda The Contemporary Reformers conference announces the launch of its first edition specifying February 12 and 13 as the dates for holding its activities that will shed light on contemporary reformers who have been subjected to injustices as a result of their contributions in the intellectual political and social fields 	SUPPORTS
93	RT BilalAliBadr SalmanAloudaAmbassadorofPeace I love you for the sake of God and may God relieve you of your captivity our Sheikh 	SUPPORTS
94	RT salahbabgi Arab thinker Muhanna AlHubails letter to the SecretaryGeneral of the United Nations asking him to press for the release of Sheikh Salman AlAwda antonioguterres salmanalodah	SUPPORTS
95	RT MohannaAlhubail Mr SecretaryGeneral of the United Nations Antonioguterres antonioguterres SheikhAwdaandConscienceofWorldPeace Greetings During a quarter of a century the campaign of Islamic enlightenment struggled to create a great human rationalization approach that spreads on the Arab land and adopts the purposes of Islam not the creation of a false religion for the benefit of tyrants or brutal capitalism	SUPPORTS
96	RT aalodah The noble thinker Professor Muhanna AlHubail from the Arabian Peninsula sends an appeal to the SecretaryGeneral of the United Nations to persuade the Saudi authorities to release the father SalmanAlAwda immediately so that he can return to his home and resume taking his medications after the illnesses that have befallen him while he is a prisoner of conscience besieged without his freedom and his children Its mission is to enlighten	SUPPORTS
97	RT SaudiReformers Dr Abdullah AlAwda during his article in the Indonesian newspaper AlBalad says that the authority of Bin Salman is trying to slowly kill his father  SalmanAlAwdaAmbassadorofPeace	SUPPORTS
98	RT Arabi21News A conference highlights Salman AlAwda as a contemporary reform model 	SUPPORTS
99	RT SaudiReformers A broad response to Dr Abdullah AlAwdas campaign that came to support Sheikh SalmanAlAwdaAmbassador of Peace  	SUPPORTS
100	RT humaid22 One of the few who presented how a scientist can be abundant in his knowledge and close to people in his life diaries SalmanAlAwdaAmbassadorofPeace 	SUPPORTS
101	New innovation Hidden chairs and box in carpets Abdul Wahhab Mosque Doha Qatar 	REFUTES
102	The MinistryofAwqaf in the State of Qatar confirms that the video circulating of the innovation of the hidden prayer chair chair  armrest  box which was implemented by the Ministry in the Imam Muhammad bin Abdul Wahhab Mosque is incorrect and is not true Yoursafetyismysafety 	SUPPORTS
103	Tunisia offers to help Libya treat those injured in the fuel truck explosion in Bint Biyya Libya Witness for details 	SUPPORTS
104	I extend my thanks to His Excellency the President of the Republic of Tunisia Mr Kais Saied TnPresidency for his solidarity and harnessing all hospitals and medical teams to help the wounded of BintBey This solidarity indicates that what unites the two brotherly peoples is fraternal relations and a spirit of solidarity in good times and bad in all cases OJerandi 	SUPPORTS
105	RT NajlaElmangoush I extend my thanks to His Excellency the President of the Republic of Tunisia Mr Kais Saied TnPresidency for his solidarity and harnessing all hospitals and medical teams to help the wounded of BintBey This solidarity indicates that what unites the two brotherly peoples is fraternal relations and a spirit of solidarity in good times and bad in all cases OJerandi  	SUPPORTS
106	12 The Ministry of Foreign Affairs and International Cooperation expresses its deep thanks and gratitude for what the sisterly state of Tunisia announced in its recent statement in which it made use of its Tunisian hospitals and medical staff To help Libyans who were injured in the municipality of BintBey following the fuel tanker explosion 	SUPPORTS
107	The Spanish Casas is the coach of the Iraqi national team 	SUPPORTS
108	Watch the lecture of the technical staff of our national team before facing its Mexican counterpart tomorrow Wednesday 	SUPPORTS
109	The Iraqi Football Federation officially contracted today Sunday with a Spanish coaching staff to lead the national team in the coming period The contract was signed by the president of the federation Adnan Darjal and the Spanish coach Casas 	SUPPORTS
110	Watch Behind the scenes of the Spanish coaching staffs tour in the capital Baghdad accompanied by the President of the Iraqi Football Association Adnan Darjal 	SUPPORTS
111	Watchthe meeting of the President of the Iraqi Football Federation Adnan Darjal with the Spanish coaching staff led by Jesus Casas which was held today Saturday at the Federations headquarters in the presence of Federation member Ghanem Oraibi and the Federations SecretaryGeneral Muhammad Farhan  corlZ6FmN8l1	SUPPORTS
112	The Spanish coach Jose Casas and his assistant staff Have a good night and have a good rest in Baghdad 	SUPPORTS
113	A citizen assaults a doctor working in a maternity hospital causing him to bleed in various parts of his body The Medical Association denounces the attack and will take legal measures against the attacker Kuwait MinistryofHealth 	SUPPORTS
114	The MinistryofHealth denounces the unfortunate attack on a doctor in the maternity hospital stressing that we are following up with the competent authorities in the country the legal procedures that preserve the doctors right in accordance with what is stated in the Professional Practice Law 70 of 2020 and to preserve and protect all the rights of health personnel in the face of these unacceptable and reprehensible actions  	SUPPORTS
115	The Medical Association denounces the incident of assault against a doctor in the maternity hospital where the doctor was brutally beaten leading to bleeding in various places in the body The Legal Committee of the Association contacted the doctor and his family to check on him and appointed a lawyer to proceed with legal procedures against the attacker	SUPPORTS
116	There is no power nor strength except with God Say Nothing will happen to us except what God has decreed for us It was confirmed that Akram Tawfiq suffered a cruciate ligament tear The injury may deprive us of a fighter from a Mufusa fighter  	SUPPORTS
117	Xrays prove that Akram Tawfiq suffered a cruciate ligament tear 	SUPPORTS
118	Islam AlShater AlAhly players and fans were keen to support Akram Tawfiq before the start of the Smouha match by raising his shirt TheBigHouse Alahlytv  	SUPPORTS
119	Amira Farraj Xrays prove that Akram Tawfiq was injured by a cruciate ligament tear and the player will fly to Austria in the coming days YouTube   AlHarifa Alahlytv  	SUPPORTS
120	AlAhly fans support Akram Tawfiq after his injury YouTube   10morninginAlAhly Alahlytv  	SUPPORTS
121	Xrays prove that Akram Tawfiq suffered a cruciate ligament tear and the player will fly to Austria in the coming days to undergo surgery  SupportAkramTawfiq Alahlytv  	SUPPORTS
122	A touching message from Akram Tawfiq after he suffered a cruciate ligament tear YouTube  AlAhlyRedLine SupportAkramTawfiq Alahlytv  	SUPPORTS
123	Saudi Arabia bears the costs of electronicservices for the Haya visa for the World Cup in Qatar	SUPPORTS
124	Cabinet Approval for the state to bear the costs of electronic services  related to the electronic visa services platform at the Ministry of Foreign Affairs  that are collected in exchange for issuing an entry visa to the Kingdom for holders of the fan card Haya for the Qatar 2022 World Cup event 	SUPPORTS
125	Cabinet Approval for the state to bear the costs of electronic services  related to the electronic visa services platform at the Ministry of Foreign Affairs  that are collected in exchange for issuing an entry visa to the Kingdom for holders of the fan card Haya for the Qatar 2022 World Cup event SPA 	SUPPORTS
126	The death of former AlNasr star YasserAlMoussa after suffering from illness  may God have mercy on him  DeathofAlNasrplayerYasserAlMoussa 	SUPPORTS
127	The Board of Directors of AlNasr Club offers condolences on the death of former AlNasr player Captain Yasser AlMousa 	SUPPORTS
128	 Urgent United States The Supreme Court abolishes mass vaccination  a scandal 3 weeks ago A great victory for freedom the Supreme Court abolished mass vaccination 	REFUTES
129	President Biden welcomed the historic commitment of G7 leaders and invited countries to provide more than a billion additional COVID19 vaccine doses to the world starting this summer with the United States contributing half a billion doses 	SUPPORTS
130	RT SecBlinken President Biden has taken action to use the power of our democracy the ingenuity of American scientists and the power of American manufacturing to defeat the pandemic globally by helping vaccinate the world	SUPPORTS
131	RT StateDept President Joe Biden We want to lead the world with our values that demonstrate our innovation creativity and core morals as an American people These vaccines will contribute to ending the pandemic everywhere 	SUPPORTS
132	RT POWERUSAID The United States is donating 500 million COVID19 vaccines to lowincome countries around the world By confronting the unprecedented crisis President Joe Biden underscores what American leadership means about saving lives and never shying away from solving the worlds greatest challenges	SUPPORTS
133	RT USAmbUN The United States is donating half a billion doses of the Pfizer vaccine to lowincome countries around the world This is the largest purchase and donation of vaccines ever made by a single country and our efforts to save lives will not stop there	SUPPORTS
134	RT SecDef Great news as President Biden announced that the United States has purchased 500 million doses of the Pfizer vaccine to distribute to countries around the world Proud to see the United States leading this effort that will save millions of lives and eliminate this pandemic globally	SUPPORTS
135	RT StateDept President Joe Biden announced yesterday that the United States will purchase and donate 500 million doses of lifesaving coronavirus vaccine to the worlds low and middleincome countries by June 2022 including 200 million to be delivered by the end of this year	SUPPORTS
136	RT VP The United States has become a vaccine arsenal for the world Yesterday President Joe Biden announced that we will purchase 500 million doses of the Pfizer vaccine and donate them to lowincome countries With this vaccine we will help end the epidemic	SUPPORTS
137	RT POTUS Today I announced that the United States will donate half a billion new Pfizer vaccine doses to 92 low and middleincome countries Pfizers vaccines will save millions of lives around the world and will be produced through American manufacturing power	SUPPORTS
138	RT StateDept US is sharing US coronavirus vaccine doses to promote a global end to the pandemic We will donate at least 80 million vaccine doses and work with our partners and allies to distribute them by the end of June Learn more here  	SUPPORTS
139	RT StateDept The US COVID19 vaccine strategy is a vital component of our global strategy to lead in the elimination of the pandemic and future pandemics We will be an arsenal of vaccines for the world 	SUPPORTS
140	President Joe Biden announced last week that the United States was donating 25 million doses of the COVID19 vaccine worldwide To learn more about how it is distributed 	SUPPORTS
141	RT USAbilAraby President Biden welcomed the historic commitment of the leaders of the Group of Seven countries and invited countries to provide more than a billion additional vaccine doses against the Covid19 virus to the world starting this summer with the United States contributing half a billion doses of it	SUPPORTS
142	WHO has approved the SinovacCoronaVac COVID19 vaccine for emergency use providing assurances to countries funders procuring agencies and local communities that it meets international standards for safety efficacy and manufacturing To learn more 	SUPPORTS
143	RT UNNewsArabic Mr antonioguterres welcomes the G7s commitment to sharing vaccines saying The response necessary to end this pandemic will require the largest global public health effort in history He explained that the world needs a global vaccine plan stressing that leading a global Seven is crucial G7UK  Read 	SUPPORTS
144	SecretaryGeneral antonioguterres will push for a global vaccination plan against Covid19 during his participation in the G7 summit 	SUPPORTS
145	RT WHOEMRO The SinovacCoronaVac COVID19 vaccine has been approved by the World Health Organization for emergency use providing countries funders procuring agencies and local communities with assurances that it meets international standards for safety efficacy and manufacturing To learn more	SUPPORTS
146	All countries must share excess doses of vaccines with other countries around the world We can end this crisis OnlyTogether  	SUPPORTS
147	Ambassadors and supporters of UNICEF call on the G7 to donate vaccines against Covid19 and develop a map to expand the scope of donations while increasing supplies  	SUPPORTS
148	As the pandemic unfolds the virus mutates and produces new variants that could threaten the vaccinated and unvaccinated alike We are in a tight race Donating doses now is a smart policy that protects our collective best interests  Director UNICEFinArabic  unicefchief commenting on the pledge G7 by providing 870 million doses of the Covid19 vaccine  	SUPPORTS
149	A historic agreement at the conclusion of the G7 summit announces pledges to provide 870 million doses of the Covid19 vaccine half of which will be available by the end of 2021 In the context of this agreement calls continue to take urgent measures to stop the devastation caused by the pandemic The most prominent positions at the conclusion of the G7UK summit here 	SUPPORTS
